,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
0,Way2G0,2022-11-12 10:36:50+00:00,0.0,,0.0,0.0,1.591379487521796e+18,https://twitter.com/Way2G0/status/1591379487521796096,,['JaganannaMosam'],,JaganannaMosam,1468.0,"జలగన్న బట్టలు విప్పి సోషల్ మీడియా లో పెట్టేసారుగా జనసైనికులు 😂😂

ఇంకో సారి ఇల్లు అని సొల్లు వాగితే మొహం మీద కొట్టండి ఈ వీడియోలు
#JaganannaMosam https://t.co/T0cPXMiQn6"
1,JustFuSuCK,2022-11-12 10:36:29+00:00,0.0,,0.0,0.0,1.59137939961378e+18,https://twitter.com/JustFuSuCK/status/1591379399613779968,,"['Fusuck', 'AndhraPradesh', 'SaveAPFromYSRCP', 'JaganPaniAyipoyindhi', 'JaganannaMosam', 'JaganFailedCM']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591379347340161026/pu/img/Gz17x3-qRQ9d-5Eb.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379347340161026/pu/vid/540x540/VSNWaqC4rWeCLfgC.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379347340161026/pu/vid/320x320/BJgKY_MjU54N79cH.mp4?tag=12', bitrate=432000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379347340161026/pu/vid/720x720/vF9KOsCSopkYy9P5.mp4?tag=12', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591379347340161026/pu/pl/rS6CbAcwWUPy6j4L.m3u8?tag=12&container=fmp4', bitrate=None)], duration=20.16, views=0)]",JaganannaMosam,2999.0,"#Fusuck
#AndhraPradesh 
#SaveAPFromYSRCP 
#JaganPaniAyipoyindhi 
#JaganannaMosam 
#JaganFailedCM https://t.co/dve3IeE6Uu"
2,JSPVeeraMahila,2022-11-12 10:36:01+00:00,9.0,,3.0,0.0,1.591379279274967e+18,https://twitter.com/JSPVeeraMahila/status/1591379279274967040,,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591379181002444800/pu/img/nhb99VCIjGYJyv2d.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379181002444800/pu/vid/540x540/AuVXqXVtCvUxYZJy.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591379181002444800/pu/pl/SKFQInjzHqZXbZ19.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379181002444800/pu/vid/320x320/Jx6_6MwhG1JscGpg.mp4?tag=12', bitrate=432000)], duration=140.0, views=0)]",JaganannaMosam,146996.0,"'జగనన్న ఇళ్లు - పేదలందరికీ కన్నీళ్లు' జనసేన సామాజిక పరిశీలన కార్యక్రమం.

స్థలం: ఈదరపల్లి గ్రామం, అమలాపురం నియోజకవర్గం

జగనన్న ఇళ్ళ లబ్ధిదారులను కలిసి వారి సమస్యలను తెలుసుకున్న జనసేన రాష్ట్ర వైద్య విభాగం కార్యదర్శి శ్రీమతి నాగ మానస.

#JaganannaMosam https://t.co/6kuRQPuHqL"
3,ramakri20586844,2022-11-12 10:35:58+00:00,0.0,,1.0,0.0,1.5913792691792773e+18,https://twitter.com/ramakri20586844/status/1591379269179277313,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhW3AdPacAA8B8m?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhW3AdPacAA8B8m?format=jpg&name=large')]",JaganannaMosam,3.0,#JaganannaMosam https://t.co/LRAHkKPMbo
4,Bonaboyina9,2022-11-12 10:35:38+00:00,2.0,,1.0,0.0,1.5913791858636472e+18,https://twitter.com/Bonaboyina9/status/1591379185863647232,,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591379128346779648/pu/img/nV2z6zQ-WV-l1dma.jpg', variants=[VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/pl/GU3Z8Vi2PBnRrNEi.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/vid/490x270/PDFucPfgS2_NljGm.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591379128346779648/pu/vid/640x352/ecsaX1JVceNx5NMN.mp4?tag=12', bitrate=832000)], duration=56.212, views=0)]",JaganannaMosam,13118.0,#JaganannaMosam https://t.co/oAgjHTaDoV
5,Bonaboyina9,2022-11-12 10:35:19+00:00,5.0,,4.0,1.0,1.5913791033994445e+18,https://twitter.com/Bonaboyina9/status/1591379103399444480,,['JaganannaMosam'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1591378981391020032/pu/img/huVM30nfbJvJnKCC.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/vid/490x270/IK1seCzoI8aB7eyS.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/vid/640x352/xEW-O1kac4UrhWKq.mp4?tag=12', bitrate=832000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1591378981391020032/pu/pl/B72Bl4Flvgx6Rhfz.m3u8?tag=12&container=fmp4', bitrate=None)], duration=109.903, views=14)]",JaganannaMosam,13118.0,"సత్తెనపల్లి నియోజకవర్గం రాజుపాలెం మండలం రాజుపాలెం గ్రామంలో ప్రభుత్వ భూముల్ని ప్రైవేట్ వ్యక్తులకు ధారాదత్తం చేసి వాటిని సొమ్ము చేసుకునే పనిలో ఈ @YSRCParty నాయకులు ఉన్నారు. ఇలాంటి అక్రమాలు చేస్తున్న వారిపై @JanaSenaParty తరవున న్యాయపరమైన పోరాటం చేస్తాం. 
#JaganannaMosam https://t.co/XWeVVLbmhz"
6,Nenu94,2022-11-12 10:35:11+00:00,0.0,,0.0,0.0,1.5913790725838807e+18,https://twitter.com/Nenu94/status/1591379072583880705,,['JaganannaMosam'],,JaganannaMosam,2.0,"#JaganannaMosam
This is a big scam.
I know one of my friend who sold his land as part of this scheme and benefited. https://t.co/z2rLKZKwBQ"
7,jspgopalapuram,2022-11-12 10:34:42+00:00,0.0,,1.0,0.0,1.5913789499969372e+18,https://twitter.com/jspgopalapuram/status/1591378949996937222,,['JaganannaMosam'],"[Photo(previewUrl='https://pbs.twimg.com/media/FhW2tq1UoAAQceL?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhW2tq1UoAAQceL?format=jpg&name=large')]",JaganannaMosam,0.0,#JaganannaMosam https://t.co/O8XG633LTI
8,Ndpkakinada,2022-11-12 10:34:31+00:00,0.0,,1.0,0.0,1.5913789036247245e+18,https://twitter.com/Ndpkakinada/status/1591378903624724480,,['JaganannaMosam'],,JaganannaMosam,545.0,"@YSRCParty చూడమ్మా ఇళ్లతో పాటు వృత్తి అనే స్కీం అన్నమాట
#JaganannaMosam
@JanaSenaParty https://t.co/WHigPo0Cjv"
9,UAnil07,2022-11-12 10:34:25+00:00,0.0,,1.0,0.0,1.591378875661308e+18,https://twitter.com/UAnil07/status/1591378875661307908,,"['PawanKalyan', 'Janasena', 'NarendraModi', 'BJP', 'TDP', 'CBN', 'YCP', 'YSRCP', 'YSJagan', 'JaganannaMosam']","[Photo(previewUrl='https://pbs.twimg.com/media/FhW2pSgUYAAyWbJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FhW2pSgUYAAyWbJ?format=jpg&name=large')]",JaganannaMosam,110.0,"#PawanKalyan ❤️✊

#Janasena #NarendraModi  #BJP

#TDP #CBN #YCP #YSRCP #YSJagan 
#JaganannaMosam https://t.co/ljYyShDWy0"
